wordform	pos	lemma
Harry	NP0	harry
Potter	NP0	potter
and	CJC	and
the	AT0	the
Sorcerer	NN1	sorcerer
's	POS	's
Stone	NN1	stone
CHAPTER	NN1	chapter
ELEVEN	CRD	eleven
-	PUN	-
QUIDDITCH	AJ0	QUIDDITCH
As	CJS	as
they	PNP	they
entered	VVD	enter|entered
November	NP0	november
,	PUN	,
the	AT0	the
weather	NN1	weather
turned	VVD	turn|turned
very	AV0	very
cold	AJ0	cold
.	SENT	.
The	AT0	the
mountains	NN2	mountain
around	PRP	around
the	AT0	the
school	NN1	school
became	VVD	become
icy	AJ0	icy
gray	NN1	gray
and	CJC	and
the	AT0	the
lake	NN1	lake
like	PRP	like
chilled	AJ0	chill|chilled
steel	NN1	steel
.	SENT	.
"	PUQ	"
Library	NN1	library
books	NN2	book
are	VBB	be
not	XX0	not
to	TO0	to
be	VBI	be
taken	VVN	take|taken
outside	PRP	outside
the	AT0	the
school	NN1	school
,	PUN	,
"	PUQ	"
said	VVD	say|said
Snape	NP0	snape
.	SENT	.
